job_id,title,company,location,salary_range,employment_type,company_size,industry,required_skills,values_promoted,experience_required,role_level
LTIM-0,Junior Backend Developer,LTI Mindtree,Chennai,"[642933, 909219]",Full-Time,1001-5000 Employees,Logistics,Microservices;Python;Spring Boot;SQL,Customer Centricity;Work-Life Balance,0-2 years,Junior
FRSH-0,Lead Full Stack Developer,Freshworks,Hyderabad,"[2755780, 4054323]",Full-Time,501-1000 Employees,IT Services & Consulting,React;JavaScript;Express,Work-Life Balance,8-12 years,Lead
ZOHO-0,Mid-Level Full Stack Developer,Zoho Corporation,Ahmedabad,"[1158146, 1661864]",Full-Time,51-200 Employees,FinTech,Express;SQL;React;MongoDB;Node.js,Teamwork;Ownership,3-5 years,Mid-Level
INFY-0,Lead Backend Developer,Infosys,Mumbai,"[2669878, 4631407]",Full-Time,5001-10000 Employees,SaaS,Java;Django;Spring Boot;Node.js;SQL,Teamwork;Data-Driven Decisions;Customer Centricity,8-12 years,Lead
TECHM-0,Principal DevOps Engineer,Tech Mahindra,Mumbai,"[4206993, 6652322]",Full-Time,501-1000 Employees,IT Services & Consulting,Docker;Kubernetes;Jenkins,Continuous Learning,12+ years,Principal
PERS-0,Lead Backend Developer,Persistent Systems,Hyderabad,"[2534506, 3725483]",Full-Time,501-1000 Employees,Gaming,Spring Boot;Python;Microservices;Django,Ownership;Customer Centricity,8-12 years,Lead
COG-0,Senior Data Scientist,Cognizant,Mumbai,"[2711447, 4574418]",Full-Time,5001-10000 Employees,IT Services & Consulting,TensorFlow;Scikit-learn;SQL;Machine Learning;Python,Customer Centricity;Ownership,5-8 years,Senior
SWGY-0,Mid-Level DevOps Engineer,Swiggy,Pune,"[1394457, 2210326]",Full-Time,1001-5000 Employees,E-commerce,CI/CD;Jenkins;Terraform;AWS;Kubernetes,Teamwork;Work-Life Balance;Customer Centricity,3-5 years,Mid-Level
SWGY-1,Mid-Level Data Scientist,Swiggy,Pune,"[1769315, 2550795]",Full-Time,5001-10000 Employees,E-commerce,TensorFlow;Scikit-learn;Python,Innovation;Ownership;Work-Life Balance,3-5 years,Mid-Level
ADBE-0,Senior Cloud Engineer,Adobe,Ahmedabad,"[2198645, 3437692]",Full-Time,10000+ Employees,IT Services & Consulting,Terraform;AWS;Azure;GCP,Continuous Learning;Customer Centricity;Work-Life Balance,5-8 years,Senior
IBM-0,Principal Full Stack Developer,IBM,Bengaluru,"[4198187, 7182940]",Full-Time,51-200 Employees,Gaming,JavaScript;Node.js;SQL;Express,Teamwork;Continuous Learning,12+ years,Principal
HCL-0,Principal Frontend Developer,HCL Technologies,Ahmedabad,"[2719673, 4277103]",Full-Time,1001-5000 Employees,IT Services & Consulting,JavaScript;TypeScript;React;Next.js;CSS,Customer Centricity;Teamwork,12+ years,Principal
INTU-0,Lead Software Engineer,Intuit,Delhi NCR,"[2154048, 3181128]",Full-Time,1001-5000 Employees,EdTech,Data Structures;Python;Algorithms;Java;C++,Integrity,8-12 years,Lead
PAYTM-0,Mid-Level Android Developer,Paytm,Kolkata,"[885192, 1444457]",Full-Time,5001-10000 Employees,Logistics,Java;Android SDK;Jetpack Compose;MVVM;Kotlin,Continuous Learning,3-5 years,Mid-Level
ORCL-0,Principal QA Engineer,Oracle,Mumbai,"[2396075, 3819262]",Full-Time,1001-5000 Employees,Healthcare IT,API Testing;Python;Selenium;Java,Innovation;Teamwork;Integrity,12+ years,Principal
ACCN-0,Junior Software Engineer,Accenture,Bengaluru,"[516667, 814521]",Full-Time,1001-5000 Employees,Gaming,Data Structures;Python;Algorithms;C++,Data-Driven Decisions;Integrity;Continuous Learning,0-2 years,Junior
WIPRO-0,Lead Machine Learning Engineer,Wipro,Pune,"[4104327, 7329480]",Full-Time,201-500 Employees,E-commerce,Python;NLP;TensorFlow,Customer Centricity;Integrity,8-12 years,Lead
PERS-1,Junior Backend Developer,Persistent Systems,Pune,"[645521, 1058911]",Full-Time,201-500 Employees,FinTech,Java;Python;Django;SQL;Microservices,Data-Driven Decisions,0-2 years,Junior
INTU-1,Senior DevOps Engineer,Intuit,Kolkata,"[2240862, 3839339]",Full-Time,5001-10000 Employees,SaaS,AWS;Jenkins;CI/CD;Terraform;Docker,Ownership;Data-Driven Decisions,5-8 years,Senior
RAZR-0,Senior Frontend Developer,Razorpay,Delhi NCR,"[1360454, 2120478]",Full-Time,501-1000 Employees,Cloud Computing,HTML;Next.js;TypeScript,Ownership,5-8 years,Senior
ZERODHA-0,Mid-Level Machine Learning Engineer,Zerodha,Hyderabad,"[1928007, 3146355]",Full-Time,501-1000 Employees,Healthcare IT,Machine Learning;Python;NLP;C++;PyTorch,Data-Driven Decisions;Teamwork;Innovation,3-5 years,Mid-Level
MSFT-0,Junior Software Engineer,Microsoft,Delhi NCR,"[615149, 896099]",Full-Time,51-200 Employees,EdTech,C++;Data Structures;Python;Java;Algorithms,Innovation;Ownership,0-2 years,Junior
SAP-0,Principal QA Engineer,SAP,Delhi NCR,"[2375453, 3835862]",Full-Time,51-200 Employees,SaaS,API Testing;Selenium;Python;JMeter,Ownership;Continuous Learning,12+ years,Principal
CRED-0,Junior Full Stack Developer,CRED,Chennai,"[674013, 990064]",Full-Time,51-200 Employees,Gaming,Express;SQL;Node.js;React,Work-Life Balance;Data-Driven Decisions,0-2 years,Junior
AMZN-0,Principal Software Engineer,Amazon,Ahmedabad,"[3052499, 5207586]",Full-Time,201-500 Employees,EdTech,Algorithms;Python;Java,Continuous Learning;Innovation,12+ years,Principal
IBM-1,Principal Software Engineer,IBM,Bengaluru,"[2955058, 4596793]",Full-Time,5001-10000 Employees,SaaS,Python;Java;Data Structures;C++,Innovation,12+ years,Principal
TCS-0,Principal Backend Developer,Tata Consultancy Services,Hyderabad,"[3573073, 5409641]",Full-Time,501-1000 Employees,SaaS,Python;Microservices;Java;SQL;Node.js,Continuous Learning;Integrity,12+ years,Principal
AMZN-1,Lead Full Stack Developer,Amazon,Mumbai,"[2564101, 3897879]",Full-Time,10000+ Employees,SaaS,MongoDB;JavaScript;SQL;React,Continuous Learning;Data-Driven Decisions;Work-Life Balance,8-12 years,Lead
CRM-0,Junior Full Stack Developer,Salesforce,Hyderabad,"[704998, 1155903]",Full-Time,10000+ Employees,Healthcare IT,Express;React;SQL;MongoDB,Work-Life Balance;Teamwork;Data-Driven Decisions,0-2 years,Junior
RAZR-1,Senior Cloud Engineer,Razorpay,Kolkata,"[2333657, 3323279]",Full-Time,10000+ Employees,Gaming,Kubernetes;GCP;Azure;Terraform,Teamwork;Data-Driven Decisions,5-8 years,Senior
INFY-1,Junior Frontend Developer,Infosys,Delhi NCR,"[523284, 779637]",Full-Time,10000+ Employees,E-commerce,HTML;JavaScript;Next.js;React;CSS,Data-Driven Decisions;Work-Life Balance;Ownership,0-2 years,Junior
PAYTM-1,Lead QA Engineer,Paytm,Kolkata,"[1778726, 2740383]",Full-Time,10000+ Employees,SaaS,Java;Python;API Testing;JMeter,Ownership;Integrity;Teamwork,8-12 years,Lead
COG-1,Mid-Level Data Scientist,Cognizant,Delhi NCR,"[1631281, 2645531]",Full-Time,5001-10000 Employees,EdTech,SQL;Python;TensorFlow;Scikit-learn;PyTorch,Ownership,3-5 years,Mid-Level
ACCN-1,Senior Data Scientist,Accenture,Ahmedabad,"[2998371, 5004800]",Full-Time,501-1000 Employees,SaaS,Scikit-learn;Machine Learning;TensorFlow,Customer Centricity;Innovation;Teamwork,5-8 years,Senior
WMT-0,Principal Backend Developer,Walmart,Kolkata,"[3864628, 6688537]",Full-Time,501-1000 Employees,Cloud Computing,Django;Spring Boot;Microservices,Customer Centricity;Innovation;Ownership,12+ years,Principal
ZOMT-0,Principal Cloud Engineer,Zomato,Pune,"[4663120, 7794318]",Full-Time,51-200 Employees,Logistics,AWS;GCP;Kubernetes;Azure,Data-Driven Decisions;Teamwork,12+ years,Principal
ZOMT-1,Principal Android Developer,Zomato,Bengaluru,"[3094027, 5244587]",Full-Time,201-500 Employees,IT Services & Consulting,Java;Android SDK;Jetpack Compose;Kotlin,Teamwork;Data-Driven Decisions;Work-Life Balance,12+ years,Principal
MPHAS-0,Principal Data Scientist,Mphasis,Kolkata,"[5799710, 10367743]",Full-Time,5001-10000 Employees,Gaming,Python;Scikit-learn;PyTorch;SQL,Teamwork;Integrity;Ownership,12+ years,Principal
SAP-1,Mid-Level DevOps Engineer,SAP,Delhi NCR,"[1252493, 2130090]",Full-Time,201-500 Employees,Healthcare IT,Jenkins;Docker;AWS;CI/CD,Data-Driven Decisions;Teamwork;Ownership,3-5 years,Mid-Level
FRSH-1,Principal QA Engineer,Freshworks,Mumbai,"[2183215, 3536331]",Full-Time,501-1000 Employees,Healthcare IT,Java;JMeter;Selenium;Python;Automation,Innovation;Integrity;Teamwork,12+ years,Principal
GOOG-0,Senior Machine Learning Engineer,Google,Hyderabad,"[2734307, 4457521]",Full-Time,501-1000 Employees,Gaming,Machine Learning;Python;TensorFlow;NLP;C++,Continuous Learning;Integrity,5-8 years,Senior
ADBE-1,Senior Software Engineer,Adobe,Ahmedabad,"[1517696, 2458702]",Full-Time,201-500 Employees,EdTech,Python;C++;Data Structures,Work-Life Balance,5-8 years,Senior
